S.NO,Movie Name,NO: of movies,Budget ($Mn),Box office($Mn),Rating out of 10
1,Harry Potter,8,1200,2319.1,10
2,Twilight,5,401,1363.5,8
3,Fast & Furious,9,1209,1625.3,7
4,Avengers,4,1151,2619.1,9.5
5,Star Wars,11,1633,4220.7,6.5
6,Dark Night Trilogy,3,565,1186.8,9
7,Jurassic park,5,616,1837.3,7.5
8,Pirates of caribbean,5,1274,1451.8,6.5
9,Transformers,6,1107,1582.4,5.5
10,Mission Impossible,6,828,1155,6.5
11,The Conjuring,7,139.5,672.6,7
12,The Hangover,3,218,644,6.5
13,John Wick,3,110,306,8
14,Ice Age,5,429,793.7,8.5
15,Insidious,5,26.5,539.4,8.5
16,Golmal,4,7.5,23.2,7.5
17,Raaz,4,11,35,4.5
18,Hera Pheri,2,2.5,9.5,9.5
19,Race,2,46,80,3.5
20,Masti,3,7.9,19.1,2
